HS300,A股投资者增速,A股换手率,ETF 净赎回力度,融资余额增速,沪深300期指当月溢价率,50ETF PCR,沪深300相对强弱指标,上涨家数占比,情绪指标,Class
3190,58,69,49.62406015,100,95,49.68944099,17,26,60.83333333,0
3067.37,57,60,49.62406015,100,97,49.68944099,9,4,54.5,0
2836.79,42,47,49.62406015,100,99,49.68944099,6,15,51.5,1
2868.02,55,59,49.62406015,99,37,49.68944099,14,44,51.33333333,0
2768.79,54,47,49.62406015,99,17,49.68944099,10,14,40.16666667,1
2850.3,56,42,49.62406015,99,86,49.68944099,9,73,60.83333333,0
2744.39,48,30,49.62406015,97,87,49.68944099,5,7,45.66666667,1
2758.87,50,46,49.62406015,96,71,49.68944099,7,61,55.16666667,0
2696.17,27,26,49.62406015,97,91,49.68944099,5,6,42,1
2736.29,55,17,49.62406015,96,88,49.68944099,5,60,53.5,0
2534.11,53,14,49.62406015,90,80,49.68944099,2,1,40,1
2647.1,44,16,49.62406015,98,60,49.68944099,3,83,50.66666667,0
2616.13,45,24,49.62406015,98,16,49.68944099,3,14,33.33333333,1
2793.08,48,50,49.62406015,96,26,49.68944099,13,86,53.16666667,1
2868.85,54,53,49.62406015,95,59,49.68944099,26,77,60.66666667,1
2897.66,46,59,49.62406015,97,92,49.68944099,33,59,64.33333333,0
2855.55,48,55,49.62406015,92,49,49.68944099,45,24,52.16666667,1
2898.33,50,65,49.62406015,95,82,49.68944099,46,51,64.83333333,0
2858.57,50,45,49.62406015,95,84,49.68944099,50,32,59.33333333,1
2920.21,49,70,49.62406015,93,82,49.68944099,48,56,66.33333333,1
2932.55,49,69,49.62406015,92,75,49.68944099,59,45,64.83333333,0
2861.37,52,63,49.62406015,94,67,49.68944099,52,17,57.5,0
2857.48,26,26,49.62406015,66,84,49.68944099,58,32,48.66666667,1
2935.57,46,44,49.62406015,82,89,49.68944099,60,66,64.5,1
3044.23,6,70,49.62406015,85,78,49.68944099,85,89,68.83333333,1
3327.68,56,75,49.62406015,88,18,49.68944099,90,58,64.16666667,1
3378.66,68,84,49.62406015,98,100,49.68944099,93,61,84,1
3379.98,72,81,49.62406015,99,97,49.68944099,90,54,82.16666667,1
3520.8,74,82,49.62406015,96,98,49.68944099,92,71,85.5,0
3291.83,84,79,49.62406015,98,40,49.68944099,71,12,64,0
3178.85,73,76,49.62406015,80,4,49.68944099,66,30,54.83333333,1
3194.85,66,58,49.62406015,66,90,49.68944099,64,47,65.16666667,0
3158.16,57,56,49.62406015,67,87,49.68944099,64,20,58.5,1
3161.98,51,34,49.62406015,87,77,49.68944099,61,37,57.83333333,1
3225.66,52,47,49.62406015,97,40,49.68944099,63,76,62.5,0
3162.96,53,41,49.62406015,74,96,49.68944099,65,10,56.5,0
3128.26,50,23,49.62406015,86,95,49.68944099,62,28,57.33333333,1
3166.62,32,42,49.62406015,88,66,49.68944099,60,57,57.5,0
3091.86,38,20,49.62406015,63,68,49.68944099,47,9,40.83333333,0
2983.46,40,13,49.62406015,71,56,49.68944099,11,9,33.33333333,1
3036.74,41,12,49.62406015,66,76,49.68944099,12,63,45,1
3077.28,9,10,49.62406015,69,75,49.68944099,18,71,42,1
3120.96,29,26,49.62406015,70,41,49.68944099,7,77,41.66666667,1
3211.88,57,55,49.62406015,74,59,49.68944099,35,74,59,0
3197.62,65,50,49.62406015,91,87,49.68944099,45,40,63,1
3270.67,60,51,49.62406015,76,89,49.68944099,51,57,64,0
3247.38,66,54,49.62406015,93,60,49.68944099,54,34,60.16666667,0
3215.69,65,52,49.62406015,86,62,49.68944099,47,23,55.83333333,1
3294.48,68,38,49.62406015,70,64,49.68944099,50,66,59.33333333,0
3272.73,70,49,49.62406015,83,63,49.68944099,56,19,56.66666667,1
3353.36,30,43,49.62406015,78,81,49.68944099,66,77,62.5,1
3358.94,46,45,49.62406015,94,17,49.68944099,62,52,52.66666667,0
3299.94,47,44,49.62406015,84,74,49.68944099,66,36,58.5,0
3192.72,46,17,49.62406015,43,53,49.68944099,67,7,38.83333333,0
3121.4,30,15,49.62406015,11,79,49.68944099,54,41,38.33333333,1
3128.09,37,13,49.62406015,38,48,49.68944099,48,50,39,0
3121.6,39,16,49.62406015,73,55,49.68944099,42,37,43.66666667,0
2963.31,43,10,49.62406015,53,88,49.68944099,12,1,34.5,1
2986.35,38,7,49.62406015,54,52,49.68944099,18,64,38.83333333,0
2961.93,28,8,49.62406015,49,21,49.68944099,6,37,24.83333333,0
2892.16,39,8,49.62406015,49,93,49.68944099,4,16,34.83333333,1
3027.47,45,4,49.62406015,87,81,49.68944099,25,92,55.66666667,1
3049.75,49,22,49.62406015,83,51,49.68944099,17,70,48.66666667,1
3109.18,35,30,49.62406015,78,79,49.68944099,27,82,55.16666667,1
3128.89,36,27,49.62406015,75,33,49.68944099,19,62,42,0
3067.99,39,32,49.62406015,65,72,49.68944099,13,16,39.5,0
2972.08,40,15,49.62406015,37,49,49.68944099,10,12,27.16666667,0
2897.42,34,9,49.62406015,33,48,49.68944099,12,25,26.83333333,0
2875.37,39,22,49.62406015,47,21,49.68944099,15,41,30.83333333,0
2807.66,39,18,49.62406015,50,21,49.68944099,9,10,24.5,1
2901.22,40,8,49.62406015,58,32,49.68944099,24,87,41.5,0
2803.85,37,12,49.62406015,29,67,49.68944099,28,2,29.16666667,0
2751.1,32,2,49.62406015,25,48,49.68944099,20,19,24.33333333,0
2733.99,27,1,49.62406015,22,61,49.68944099,21,36,28,0
2669.48,40,4,49.62406015,32,47,49.68944099,20,10,25.5,0
2581.35,43,2,49.62406015,16,26,49.68944099,3,4,15.66666667,1
2653.78,28,5,49.62406015,6,60,49.68944099,6,89,32.33333333,0
2507.88,31,3,49.62406015,22,74,49.68944099,2,3,22.5,1
2709.02,36,16,49.62406015,11,34,49.68944099,13,99,34.83333333,1
2763.75,35,31,49.62406015,67,77,49.68944099,23,85,53,0
2695,34,13,49.62406015,82,50,49.68944099,24,18,36.83333333,0
2606.5,35,15,49.62406015,73,58,49.68944099,23,6,35,0
2569.97,34,2,49.62406015,52,61,49.68944099,22,26,32.83333333,0
2557.31,33,7,49.62406015,24,73,49.68944099,25,29,31.83333333,0
2503.46,29,1,49.62406015,24,72,49.68944099,11,20,26.16666667,0
2390.13,32,1,49.62406015,33,7,49.68944099,9,9,15.16666667,0
2359.16,35,2,49.62406015,42,55,49.68944099,10,33,29.5,0
2345.74,33,1,49.62406015,24,79,49.68944099,10,44,31.83333333,0
2290.6,5,1,49.62406015,13,72,49.68944099,10,12,18.83333333,1
2394.33,24,11,49.62406015,7,86,49.68944099,29,89,41,1
2504.09,21,5,49.62406015,5,35,49.68944099,31,80,29.5,1
2506.09,26,3,49.62406015,13,61,49.68944099,43,60,34.33333333,1
2533.62,32,11,49.62406015,71,46,49.68944099,25,77,43.66666667,1
2537.09,36,14,49.62406015,71,52,49.68944099,18,65,42.66666667,1
2648.02,41,30,49.62406015,69,78,49.68944099,38,96,58.66666667,1
2679.93,44,30,49.62406015,73,67,49.68944099,52,64,55,0
2664.3,37,27,49.62406015,89,54,49.68944099,55,52,52.33333333,0
2623.52,42,45,49.62406015,84,12,49.68944099,50,23,42.66666667,0
2552.94,41,20,49.62406015,76,89,49.68944099,48,5,46.5,0
2454.9,44,6,49.62406015,41,47,49.68944099,51,7,32.66666667,1
2519.83,3,9,49.62406015,14,54,49.68944099,60,94,39,1
2580.45,15,10,49.62406015,29,69,49.68944099,67,92,47,1
2626.84,20,17,49.62406015,42,35,49.68944099,76,80,45,0
2626.16,24,26,49.62406015,45,81,49.68944099,71,42,48.16666667,1
2715.88,6,27,49.62406015,44,55,49.68944099,68,93,48.83333333,0
2636.92,19,20,49.62406015,84,36,49.68944099,58,21,39.66666667,0
2573.98,19,12,49.62406015,84,57,49.68944099,47,22,40.16666667,0
2573.1,21,9,49.62406015,65,30,49.68944099,46,44,35.83333333,1
2633,23,17,49.62406015,60,41,49.68944099,40,91,45.33333333,0
2524.33,19,6,49.62406015,74,24,49.68944099,27,9,26.5,1
2568.05,22,7,49.62406015,52,23,49.68944099,32,87,37.16666667,0
2512.19,22,5,49.62406015,59,47,49.68944099,31,15,29.83333333,0
2461.61,31,4,49.62406015,52,73,49.68944099,33,29,37,1
2472.61,10,8,49.62406015,49,71,49.68944099,45,56,39.83333333,0
2450.63,13,8,49.62406015,57,70,49.68944099,35,33,36,0
2398.46,16,6,49.62406015,41,66,49.68944099,19,29,29.5,0
2349.11,17,2,49.62406015,44,93,49.68944099,7,19,30.33333333,1
2353.74,14,1,49.62406015,23,84,49.68944099,8,55,30.83333333,1
2399.75,17,9,49.62406015,55,80,49.68944099,4,88,42.16666667,0
2313.48,17,3,49.62406015,53,25,49.68944099,4,4,17.66666667,0
2275.68,19,4,49.62406015,55,91,49.68944099,5,31,34.16666667,0
2204.87,20,3,49.62406015,26,78,49.68944099,3,20,25,1
2317.18,15,8,49.62406015,51,93,49.68944099,8,97,45.33333333,0
2315.54,22,17,49.62406015,74,83,49.68944099,15,35,41,0
2199.06,21,4,49.62406015,67,66,49.68944099,4,1,27.16666667,1
2293.11,25,3,49.62406015,14,92,49.68944099,19,90,40.5,1
2304.53,8,5,49.62406015,24,59,49.68944099,26,69,31.83333333,1
2332.47,10,3,49.62406015,62,56,49.68944099,28,76,39.16666667,0
2247.91,16,4,49.62406015,63,65,49.68944099,22,6,29.33333333,1
2306.77,14,2,49.62406015,54,53,49.68944099,34,90,41.16666667,0
2240.92,10,2,49.62406015,30,64,49.68944099,31,7,24,0
2177.24,13,0,49.62406015,27,29,49.68944099,26,3,16.33333333,1
2192.68,15,0,49.62406015,36,56,49.68944099,23,70,33.33333333,0
2139.66,19,0,49.62406015,15,47,49.68944099,25,13,19.83333333,1
2246.76,16,6,49.62406015,10,74,49.68944099,40,96,40.33333333,1
2355.87,21,13,49.62406015,62,90,49.68944099,57,98,56.83333333,1
2372,23,22,49.62406015,85,69,49.68944099,48,57,50.66666667,1
2480.05,22,29,49.62406015,89,90,49.68944099,57,97,64,1
2524.41,3,37,49.62406015,81,75,49.68944099,71,61,54.66666667,0
2483.23,19,33,49.62406015,92,86,49.68944099,61,40,55.16666667,1
2595.44,24,47,49.62406015,93,44,49.68944099,68,98,62.33333333,0
2571.67,25,34,49.62406015,91,92,49.68944099,63,24,54.83333333,1
2743.32,25,37,49.62406015,90,62,49.68944099,80,86,63.33333333,1
2771.73,15,31,49.62406015,94,33,49.68944099,78,81,55.33333333,0
2596.6,29,29,49.62406015,92,42,49.68944099,70,17,46.5,1
2668.84,31,26,49.62406015,82,45,49.68944099,79,77,56.66666667,0
2606.93,33,44,49.62406015,88,67,49.68944099,72,28,55.33333333,0
2539.87,32,15,49.62406015,72,95,49.68944099,72,23,51.5,1
2618.31,33,18,49.62406015,72,73,49.68944099,71,87,59,0
2495.08,35,16,49.62406015,78,25,49.68944099,55,15,37.33333333,0
2483.55,5,9,49.62406015,63,39,49.68944099,53,41,35,0
2462.11,12,6,49.62406015,61,50,49.68944099,42,39,35,1
2533.83,12,7,49.62406015,51,37,49.68944099,44,84,39.16666667,0
2447.31,19,19,49.62406015,75,30,49.68944099,40,15,33,1
2492.91,1,10,49.62406015,50,33,49.68944099,35,85,35.66666667,1
2540.84,15,22,49.62406015,71,54,49.68944099,40,81,47.16666667,1
2592.05,16,25,49.62406015,83,20,49.68944099,29,81,42.33333333,1
2597.23,23,46,49.62406015,88,27,49.68944099,28,57,44.83333333,1
2606.43,23,40,49.62406015,89,33,49.68944099,43,51,46.5,0
2484.16,17,19,49.62406015,79,29,49.68944099,24,2,28.33333333,0
2416.77,2,15,49.62406015,47,15,49.68944099,23,21,20.5,0
2317.39,20,13,49.62406015,62,46,49.68944099,19,18,29.66666667,0
2200.64,28,33,49.62406015,5,8,49.68944099,4,18,16,1
2226.85,14,23,49.62406015,10,5,49.68944099,12,75,23.16666667,1
2275.37,11,27,49.62406015,23,56,49.68944099,22,75,35.66666667,0
2190.48,13,33,49.62406015,64,95,49.68944099,15,24,40.66666667,1
2224.01,14,33,49.62406015,54,8,49.68944099,11,73,32.16666667,1
2247.26,11,20,49.62406015,31,31,49.68944099,22,72,31.16666667,1
2286.01,10,28,49.62406015,44,57,49.68944099,21,68,38,1
2304.14,11,37,49.62406015,57,94,49.68944099,16,53,44.66666667,0
2286.93,13,24,49.62406015,58,30,49.68944099,8,46,29.83333333,1
2313.91,18,43,49.62406015,69,24,49.68944099,11,58,37.16666667,1
2357.78,14,36,49.62406015,60,45,49.68944099,16,74,40.83333333,1
2488.9,21,58,49.62406015,85,75,49.68944099,43,74,59.33333333,0
2432.51,8,35,49.62406015,86,50,49.68944099,45,22,41,0
2394.97,24,44,49.62406015,77,63,49.68944099,53,32,48.83333333,1
2409.04,0,18,49.62406015,44,53,49.68944099,71,67,42.16666667,1
2468.51,13,48,49.62406015,68,45,49.68944099,72,85,55.16666667,0
2426.05,22,48,49.62406015,83,58,49.68944099,62,27,50,0
2368.56,20,42,49.62406015,56,29,49.68944099,68,13,38,1
2384.96,17,23,49.62406015,22,70,49.68944099,66,51,41.5,0
2307.95,13,12,49.62406015,23,63,49.68944099,52,11,29,1
2350.73,12,14,49.62406015,17,76,49.68944099,52,78,41.5,1
2397.96,25,38,49.62406015,59,76,49.68944099,56,79,55.5,1
2438.94,21,31,49.62406015,59,89,49.68944099,60,85,57.5,1
2452.29,20,40,49.62406015,56,85,49.68944099,59,54,52.33333333,0
2406.64,18,18,49.62406015,56,74,49.68944099,48,30,40.66666667,0
2278.14,13,10,49.62406015,43,78,49.68944099,15,5,27.33333333,1
2303.48,14,9,49.62406015,39,93,49.68944099,26,69,41.66666667,0
2290.78,8,16,49.62406015,51,79,49.68944099,29,39,37,0
2204.85,10,15,49.62406015,42,82,49.68944099,17,11,29.5,0
2178.49,12,10,49.62406015,34,66,49.68944099,6,47,29.16666667,1
2245.68,18,22,49.62406015,40,70,49.68944099,21,94,44.16666667,0
2202.45,7,21,49.62406015,26,43,49.68944099,22,28,24.5,1
2212.48,0,19,49.62406015,20,57,49.68944099,21,70,31.16666667,1
2295.58,28,54,49.62406015,77,31,49.68944099,41,88,53.16666667,0
2264.29,33,54,49.62406015,77,43,49.68944099,31,27,44.16666667,0
2178.97,34,51,49.62406015,40,39,49.68944099,15,13,32,0
2168.36,30,35,49.62406015,35,11,49.68944099,8,44,27.16666667,0
2122.84,30,21,49.62406015,16,14,49.68944099,5,21,17.83333333,1
2158.8,29,27,49.62406015,36,20,49.68944099,12,72,32.66666667,0
2151.97,32,27,49.62406015,51,31,49.68944099,24,42,34.5,1
2185.47,17,10,49.62406015,22,59,49.68944099,26,79,35.5,1
2270.67,8,29,49.62406015,37,56,49.68944099,39,86,42.5,0
2224.48,15,13,49.62406015,58,44,49.68944099,45,27,33.66666667,0
2167.83,12,11,49.62406015,26,67,49.68944099,41,5,27,0
2158.66,5,5,49.62406015,9,24,49.68944099,30,43,19.33333333,0
2133.91,7,5,49.62406015,17,65,49.68944099,31,38,27.16666667,1
2145.95,9,6,49.62406015,25,42,49.68944099,32,59,28.83333333,1
2148.41,9,4,49.62406015,19,38,49.68944099,17,59,24.33333333,1
2156.46,11,11,49.62406015,20,28,49.68944099,24,49,23.83333333,0
2134.72,6,6,49.62406015,18,27,49.68944099,32,27,19.33333333,1
2176.24,20,12,49.62406015,28,55,49.68944099,44,91,41.66666667,0
2136.73,24,14,49.62406015,58,32,49.68944099,45,14,31.16666667,1
2150.26,27,12,49.62406015,36,29,49.68944099,40,78,37,1
2178.7,25,31,49.62406015,40,23,49.68944099,47,88,42.33333333,0
2148.01,26,30,49.62406015,63,26,49.68944099,35,33,35.5,1
2164.14,21,28,49.62406015,59,63,49.68944099,16,68,42.5,1
2260.45,17,29,49.62406015,41,85,49.68944099,50,83,50.83333333,1
2329.4,25,54,49.62406015,54,82,49.68944099,72,84,61.83333333,1
2331.13,25,48,49.62406015,75,73,49.68944099,75,63,59.83333333,1
2360.64,29,50,49.62406015,79,49,49.68944099,83,73,60.5,1
2365.36,33,56,49.62406015,81,71,49.68944099,83,55,63.16666667,0
2338.29,31,36,49.62406015,78,83,49.68944099,76,16,53.33333333,1
2449.26,31,61,49.62406015,68,91,49.68944099,83,99,72.16666667,0
2438.36,33,63,49.62406015,79,54,49.68944099,85,47,60.16666667,0
2425.21,37,61,49.62406015,87,35,49.68944099,81,38,56.5,1
2437.2,38,56,49.62406015,87,83,49.68944099,91,58,68.83333333,1
2450.99,18,57,49.62406015,72,57,49.68944099,91,71,61,1
2466.79,30,67,49.62406015,70,61,49.68944099,90,53,61.83333333,0
2441.73,42,60,49.62406015,88,42,49.68944099,92,26,58.33333333,0
2390.71,37,41,49.62406015,68,69,49.68944099,80,14,51.5,1
2508.33,37,60,49.62406015,57,86,49.68944099,81,89,68.33333333,0
2502.15,40,65,49.62406015,70,35,49.68944099,73,39,53.66666667,1
2581.09,42,68,49.62406015,67,44,49.68944099,79,62,60.33333333,1
2583.46,40,50,49.62406015,62,18,49.68944099,77,54,50.16666667,1
2808.82,55,80,49.62406015,90,88,49.68944099,88,86,81.16666667,1
3124.89,79,89,49.62406015,91,98,49.68944099,96,82,89.16666667,1
3193.23,90,92,49.62406015,94,92,49.68944099,95,67,88.33333333,1
3383.17,80,85,49.62406015,85,9,49.68944099,97,59,69.16666667,1
3445.84,74,81,49.62406015,68,97,49.68944099,98,48,77.66666667,1
3533.71,48,81,49.62406015,55,99,49.68944099,98,43,70.66666667,1
3546.72,75,79,49.62406015,72,17,49.68944099,98,64,67.5,1
3635.15,63,63,49.62406015,80,70,49.68944099,98,66,73.33333333,0
3571.73,70,78,49.62406015,37,94,49.68944099,97,50,71,0
3434.39,67,70,49.62406015,64,38,49.68944099,96,26,60.16666667,0
3312.42,56,65,49.62406015,33,96,49.68944099,86,14,58.33333333,1
3469.83,51,54,49.62406015,64,41,16,91,97,59.14285714,1
3522.32,23,62,49.62406015,5,43,0,90,86,44.14285714,1
3572.84,44,64,49.62406015,10,85,65,91,74,61.85714286,0
3478.52,81,78,49.62406015,89,80,24,79,36,66.71428571,1
3617.66,85,73,49.62406015,90,68,59,72,80,75.28571429,1
3892.57,93,89,49.62406015,80,34,64,77,97,76.28571429,1
3971.7,96,92,49.62406015,91,83,98,75,69,86.28571429,1
4170.54,95,88,49.62406015,86,96,9,77,91,77.42857143,1
4344.42,95,94,49.62406015,93,96,20,78,69,77.85714286,1
4596.14,99,92,49.62406015,60,62,63,83,65,74.85714286,1
4702.64,100,96,49.62406015,61,91,12,82,76,74,1
4749.89,98,92,49.62406015,79,89,94,85,48,83.57142857,0
4558.4,98,85,49.62406015,75,18,96,85,18,67.85714286,1
4617.47,98,91,49.62406015,53,88,71,94,67,80.28571429,1
4951.34,98,93,49.62406015,81,100,86,94,96,92.57142857,0
4840.83,98,97,49.62406015,69,98,39,90,35,75.14285714,1
5230.55,100,96,49.62406015,81,51,11,93,93,75,1
5335.12,99,95,49.62406015,63,94,8,96,73,75.42857143,0
4637.05,98,90,49.62406015,65,100,40,74,2,67,0
4336.19,92,88,49.62406015,6,1,60,58,9,44.85714286,0
3885.92,92,89,49.62406015,1,97,74,42,8,57.57142857,1
4106.56,92,88,49.62406015,0,99,99,42,59,68.42857143,1
4151.5,93,88,49.62406015,1,11,99,39,60,55.85714286,1
4176.28,89,92,49.62406015,39,0,19,32,67,48.28571429,0
3816.7,84,88,49.62406015,3,1,56,21,0,36.14285714,1
3906.94,74,76,49.62406015,2,5,97,23,82,51.28571429,1
4073.54,81,87,49.62406015,76,4,57,31,83,59.85714286,0
3589.54,82,86,49.62406015,27,98,6,20,0,45.57142857,0
3342.29,85,80,88,0,1,90,7,4,44.375,1
3365.83,57,78,31,1,0,72,8,40,35.875,0
3347.19,77,69,83,2,7,18,2,56,39.25,0
3251.27,75,67,73,3,64,48,2,11,42.875,0
3231.95,73,66,43,18,1,54,3,47,38.125,0
3202.95,44,40,24,7,2,10,4,36,20.875,1
3340.12,35,66,23,12,10,2,19,95,32.75,1
3534.07,77,81,72,80,18,52,19,95,61.75,1
3571.24,81,84,58,75,2,21,19,48,48.5,0
3534.08,81,82,30,73,2,1,17,33,39.875,1
3793.37,77,84,51,64,6,68,43,95,61,0
3746.24,84,91,23,95,13,34,37,38,51.875,1
3774.38,84,83,29,82,52,81,30,65,63.25,0
3556.99,85,84,9,45,3,13,42,3,35.5,1
3677.59,81,77,42,7,7,42,64,80,50,0
3608.06,83,70,14,6,20,33,59,21,38.25,1
3767.91,79,74,8,46,65,45,67,98,60.25,1
3838.2,77,76,14,65,9,35,75,61,51.5,0
3731,54,69,57,13,3,22,71,10,37.375,0
3361.56,76,62,83,2,5,27,52,3,38.75,0
3118.73,79,64,99,1,84,19,34,2,47.75,0
3113.46,83,59,92,4,3,9,23,54,40.875,0
2946.09,83,54,98,2,6,91,13,5,44,1
2963.79,69,43,98,3,12,70,15,70,47.5,1
3051.59,82,56,87,12,44,3,7,98,48.625,0
2948.03,88,67,71,25,3,5,6,12,34.625,1
3093.89,89,67,22,4,6,57,13,76,41.75,0
3018.28,90,47,21,12,8,11,16,13,27.25,1
3171.96,91,63,77,21,68,75,21,100,64.5,1
3197.82,91,75,20,76,7,7,25,56,44.625,1
3221.89,89,68,29,34,20,37,16,68,45.125,0
3185.73,72,72,56,43,36,25,10,30,43,1
3272.21,85,70,82,38,46,46,22,94,60.375,0
3174.9,86,62,41,13,8,34,31,6,35.125,0
3156.75,86,35,50,8,10,17,46,36,36,0
3130.35,66,59,28,77,6,4,44,27,38.875,0
3074.94,77,40,86,19,32,17,56,18,43.125,1
3078.22,78,38,71,6,22,6,55,50,40.75,0
3062.5,78,36,77,9,10,14,44,34,37.75,1
3189.33,76,63,70,15,23,55,65,100,58.375,0
3163.99,54,57,66,50,19,14,51,30,42.625,0
3110.36,82,61,50,21,62,66,54,23,52.375,0
3077.16,79,60,49,30,4,1,29,31,35.375,1
3154.2,79,64,8,50,5,20,37,99,45.25,1
3192.28,71,71,0,55,15,30,38,93,46.625,1
3276.28,74,69,65,42,51,49,54,96,62.5,0
3225.16,74,55,13,45,9,41,37,16,36.25,0
3203.93,75,58,48,15,14,7,46,40,37.875,1
3205.11,71,31,41,8,23,48,49,43,39.25,1
3294.23,84,42,7,35,34,62,61,91,52,1
3365.02,90,66,56,66,38,80,75,88,69.875,0
3307.09,92,48,40,40,11,79,68,22,50,1
3314.11,89,39,27,27,12,89,70,46,49.875,1
3318.04,87,48,81,30,27,88,59,52,59,0
3238.73,73,40,76,15,42,37,52,5,42.5,1
3275.67,89,24,55,16,11,76,63,78,51.5,0
3253.29,85,19,95,12,31,91,65,31,53.625,1
3305.85,81,37,39,32,41,83,62,90,58.125,1
3327.74,82,48,2,48,28,67,61,68,50.5,1
3340.13,82,51,65,46,19,95,53,55,58.25,1
3354.17,78,53,12,32,19,98,63,53,51,1
3417.22,80,61,69,46,50,92,73,90,70.125,1
3417.46,84,60,47,61,78,82,73,49,66.75,1
3521.3,80,61,38,48,40,85,74,79,63.125,1
3528.95,80,58,54,48,44,69,69,42,58,0
3493.7,75,38,92,19,21,94,73,41,56.625,0
3346.03,74,46,90,9,43,42,47,8,44.875,0
3307.6,70,28,20,21,9,47,41,34,33.75,1
3310.08,61,19,80,18,13,61,55,49,44.5,1
3347.67,49,32,64,11,25,78,55,83,49.625,0
3319.91,64,25,75,13,25,50,54,25,41.375,1
3354.89,65,21,86,5,46,47,50,75,49.375,1
3364.49,52,7,63,7,30,55,46,24,35.5,1
3413.49,71,25,38,28,24,87,51,93,52.125,1
3421.44,83,40,47,46,69,63,43,63,56.75,1
3473.85,87,42,62,45,15,38,50,92,53.875,0
3427.86,88,35,6,39,13,23,29,31,33,1
3427.89,88,34,37,28,15,60,28,38,41,1
3445.81,89,44,36,30,90,36,35,71,53.875,1
3489.6,88,49,2,43,34,40,70,65,48.875,0
3456.05,86,45,19,32,36,75,71,35,49.875,1
3517.46,53,51,1,19,32,28,76,94,44.25,0
3486.5,73,55,35,41,26,30,67,29,44.5,0
3466.79,72,35,74,21,27,43,69,41,47.75,0
3439.75,73,33,95,8,16,65,58,45,49.125,0
3382.55,54,32,94,18,14,4,41,19,34.5,1
3385.38,67,25,62,8,17,68,46,51,43,1
3403.85,65,28,61,10,38,27,39,73,42.625,1
3480.43,63,25,60,14,52,77,53,66,51.25,1
3486.51,44,21,59,9,36,66,44,64,42.875,1
3576.17,63,22,18,20,58,88,67,95,53.875,0
3518.76,69,21,26,34,58,80,56,45,48.625,1
3622.88,65,24,26,29,12,70,65,82,46.625,1
3666.8,63,19,35,37,13,53,64,82,45.75,0
3655.93,51,26,11,34,11,58,69,63,40.375,1
3703.09,62,32,5,31,40,78,67,55,46.25,1
3728.6,63,41,68,16,77,73,74,62,59.25,0
3721.89,64,36,5,49,22,31,76,48,41.375,0
3707.58,66,49,53,47,19,35,78,52,49.875,0
3647.35,68,41,17,35,16,26,79,34,39.5,1
3724.67,69,36,4,38,53,43,83,92,52.25,1
3795.75,67,29,34,38,48,53,84,62,51.875,1
3830.54,69,52,97,53,72,73,83,79,72.25,0
3825.99,67,52,46,60,39,76,82,46,58.5,1
3831.3,69,53,17,61,60,86,77,50,59.125,1
3837.73,64,41,16,48,28,89,89,42,52.125,0
3836.5,60,23,33,14,81,84,82,49,53.25,1
3921,58,37,74,38,80,96,84,87,69.25,1
3926.85,57,23,32,23,45,71,86,46,47.875,1
4021.97,58,21,11,26,51,58,90,75,48.75,0
3992.7,59,31,10,39,10,39,82,32,37.75,1
4111.91,59,36,25,52,64,93,89,84,62.75,1
4120.85,60,45,53,57,22,93,92,35,57.125,0
4104.2,56,38,68,25,39,32,97,45,50,0
3998.14,53,20,59,17,16,12,79,43,37.375,1
4003.38,51,18,67,11,37,51,74,45,44.25,0
3980.86,50,14,52,29,71,22,67,37,42.75,1
4054.6,48,11,85,28,85,81,73,60,58.875,0
4030.86,48,17,91,35,76,83,70,50,58.75,1
4138.75,41,32,45,33,77,44,76,99,55.875,1
4225,55,33,15,50,65,61,81,55,51.875,1
4285.4,61,38,32,47,68,84,78,58,58.25,1
4381.3,60,38,80,56,87,52,83,84,67.5,0
4271.23,56,28,89,20,49,45,66,17,46.25,0
3840.65,52,34,93,4,4,29,32,1,31.125,1
3966.96,29,7,79,3,28,50,34,91,40.125,1
4071.09,22,8,44,4,14,32,40,100,33,0
4016.46,61,23,84,31,33,15,38,68,44.125,1
4108.87,65,23,78,31,37,24,50,95,50.375,0
4056.42,72,29,44,36,94,16,46,22,44.875,0
3904.94,71,29,3,25,2,2,39,11,22.75,0
3898.5,68,35,96,17,22,25,35,81,47.375,0
3854.86,36,39,89,27,22,29,33,23,37.25,0
